Designator,Footprint,Quantity,Value,LCSC Part #
"C10001, C10005, C11004, C11009, C12001, C12006",0603,6,0.1uF 50V 0603,C14663
"C10002, C10003, C10004, C11005, C11006, C11011, C12002, C12003, C12008, C17008, C20001, C24001, C28001, C32001, C8003",0805,15,10uF 50V 0805,C440198
"C10006, C11010, C12007",0805,3,2.2uF 50V 0805,C377773
"C11001, C14001, C18001, C22001, C26001, C6023, C6025",0402,7,10nF,C15195
"C11002, C13004, C13007, C13010, C14002, C15004, C15006, C17004, C17007, C17010, C18002, C19004, C19006, C21004, C21007, C21010, C22002, C23004, C23006, C25004, C25007, C25010, C26002, C3001, C3003, C3005, C3007, C3008, C3009, C4004, C4007, C4010, C5004, C5007, C5008, C5009, C5010, C6021, C6022, C6024, C6026, C6027, C6028, C6029, C6030, C6031, C6032, C6033, C6034, C6036, C6037, C6038, C6039, C6041, C6043, C6048, C6050, C7005, C7006, C7007, C7008, C7010, C7011, C8005, C9004, C9006",0402,66,0.1uF,
"C11003, C13005, C13006, C13011, C14003, C15005, C17005, C17006, C17011, C18003, C19005, C21005, C21006, C21011, C22003, C23005, C25005, C25006, C25011, C26003, C3002, C3004, C3006, C4005, C4006, C4011, C5005, C5006, C5011, C5012, C6035, C6040, C6049, C6051, C7009, C8006, C9005",0603,37,10uF,
"C13001, C13003, C17001, C17003, C21001, C21003, C25001, C25003, C4001, C4003, C5001, C5003",0402,12,1nF,
"C13002, C17002, C21002, C25002, C4002, C5002",0402,6,10nF,
"C15001, C15003, C19001, C19003, C23001, C23003, C9001, C9003",0402,8,2.2uF,
"C15002, C19002, C23002, C9002",0402,4,1uF,
"C6001, C6002, C6003, C6004, C6005, C6006, C6007, C6008, C6009, C6010, C6011, C6012, C6013, C6014, C6015, C6016, C6017, C6018, C6019, C6020, C7004",0402,21,1uF 0402,C52923
"C7001, C7002",0402,2,5.6pF 0402,C258497
C7003,0402,1,470pF 0402,C363540
C7012,0402,1,4.7nF,
C8001,0603,1,0.1uF 0603,
C8002,0603,1,10uF 0603,
"D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D1010, D1011, D1012, D1013, D1014, D1015, D1016, D1017, D1018, D1019, D1020, D1021, D1022, D1023, D1024, D1025, D1026, D1027, D1028, D2001, D2002, D2003",D_SOD-323,31,BZT52C5V6S,C5184420
"D13001, D17001, D21001, D25001, D4001, D5001",D_SMA,6,D_Schottky,C22452
"D6001, D6002, D6003, D6004, D7001, D7002, D7004, D7005, D7006, D7007, D7008, D7009",0603,12,Purple LED,C7371898
D7003,SOIC-8_3.9x4.9mm_P1.27mm,1,CDNBS08-SLVU2.8-4,
FB7001,0805,1,GZ2012D601TF,C1017
"IC10001, IC11002, IC12001",SOT-23-6,3,TPS560430XDBVR,
"IC11001, IC13001, IC14001, IC15001, IC17001, IC18001, IC19001, IC21001, IC22001, IC23001, IC25001, IC26001, IC3001, IC3002, IC3004, IC4001, IC5001, IC8001, IC9001",SOIC127P600X175-8N,19,INA826AIDR,C38433
"IC13002, IC13003, IC17002, IC17003, IC21002, IC21003, IC25002, IC25003, IC4002, IC4003, IC5002, IC5003",SOT-23-5,12,TLV333IDBVR,
"IC17004, IC20001, IC24001, IC28001, IC32001",SOIC127P600X175-8N,5,BD42540FJ-CE2,C308591
"IC3003, IC3005, IC3006",SOIC127P600X175-8N,3,LM393DR2G,
IC5004,SOT95P280X145-6N,1,REF35102QDBVR,
IC6001,QFP50P2200X2200X160-144N,1,STM32H743ZIT6,C114408
"J10001, J11001, J12001, J14001, J16001, J18001, J20001, J22001, J24001, J26001",TerminalBlock_bornier-3_P5.08mm,10,Screw_Terminal_01x03,C8270
"J15001, J19001, J23001, J9001",AM-K-PCB,4,AM-K-PCB,C9900157061
"J3001, J3002, J3003, J3004, J3005, J3006",1725038,6,Screw_Terminal_01x04,C91148
J6001,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_02x07_Odd_Even,C3975190
J7001,63391601,1,6339160-1,C125076
J8001,BarrelJack_Horizontal,1,Barrel_Jack,
L10001,INDPM4040X300N,1,12uH FNR4030S120MT,C167880
L11001,INDPM4040X300N,1,18uH  FNR4030S180MT, C167882
L12001,INDPM4040X300N,1,33uH  FNR4020S330MT,C167840
"R10001, R11004, R12002",0603,3,22.1k 0603,C25961
R10002,0603,1,51k 0603,C23196
"R10003, R11005, R12003",0805,3,1R 0805,C25271
"R11001, R14001, R18001, R22001, R26001",0402,5,200R,C25087
"R11002, R14002, R18002, R22002, R26002",0603,5,RNCF0603TKY75R0 75R 0.01% 5ppm/C,C2482496
R11003,0603,1,88.7k 0603,C203875
R12001,0603,1,243k 0603,C23351
"R13002, R15005, R17002, R19005, R21002, R23005, R25002, R4002, R5002, R9005",0603,10,RNCF0603TKY2K00 2k 0.01% 5ppm/C,C346578
"R13003, R17003, R21003, R25003, R4003, R5003",0805,6,300,
"R13004, R13005, R17004, R17005, R21004, R21005, R25004, R25005, R4004, R4005, R5004, R5005",0402,12,10k 1%,
"R13006, R13009, R17006, R17009, R21006, R21009, R25006, R25009, R4006, R4009, R5006, R5009",0603,12,RNCF0603TKW10K0 10k 0.01% 5ppm/C,C2482678
"R13007, R6024",0402,2,100R 0402,C25076
"R15001, R19001, R23001, R9001",0402,4,10,C25077
"R15002, R19002, R23002, R9002",0402,4,10,
"R15003, R19003, R23003, R3002, R3003, R3004, R9003",0402,7,1M,
