Designator,Mid X,Mid Y,Rotation,Layer
-1001,123.41,-125.32,0.0,top
C10001,270.54823,-126.356975,270.0,top
C10002,277.13823,-125.801975,90.0,top
C10003,270.23823,-122.521975,270.0,top
C10004,278.08823,-129.281975,270.0,top
C10005,276.28823,-129.111975,270.0,top
C10006,268.20823,-122.529475,270.0,top
C11001,180.91,-106.145001,270.0,top
C11002,186.47,-110.960001,270.0,top
C11003,186.72,-113.440001,90.0,top
C11004,275.93573,-117.011975,270.0,top
C11005,277.71573,-117.156975,270.0,top
C11006,276.80573,-113.656975,90.0,top
C11009,270.21573,-114.176975,270.0,top
C11010,270.00573,-110.426975,270.0,top
C11011,267.95573,-110.446975,270.0,top
C12001,275.77573,-104.631975,270.0,top
C12002,277.55573,-104.846975,270.0,top
C12003,276.62573,-101.366975,90.0,top
C12006,270.05073,-101.871975,270.0,top
C12007,269.81573,-98.256975,270.0,top
C12008,267.77573,-98.246975,270.0,top
C13001,66.395,-109.010001,90.0,top
C13002,68.355,-109.010001,270.0,top
C13003,69.395,-109.030001,90.0,top
C13004,61.935,-117.350001,180.0,top
C13005,61.375,-116.088001,0.0,top
C13006,66.75,-117.030001,180.0,top
C13007,64.305,-116.730001,180.0,top
C13010,72.285,-116.780001,0.0,top
C13011,69.82,-117.050001,0.0,top
C14001,164.943,-106.145001,270.0,top
C14002,170.503,-110.960001,270.0,top
C14003,170.753,-113.440001,90.0,top
C15001,40.795,-141.380001,0.0,top
C15002,38.81,-141.380001,180.0,top
C15003,37.32,-141.845001,270.0,top
C15004,31.69,-141.425001,180.0,top
C15005,34.22,-141.675001,180.0,top
C15006,30.22,-136.870001,270.0,top
C17001,50.059999,-109.010001,90.0,top
C17002,52.019999,-109.010001,270.0,top
C17003,53.059999,-109.030001,90.0,top
C17004,45.599999,-117.350001,180.0,top
C17005,45.039999,-116.088001,0.0,top
C17006,50.414999,-117.030001,180.0,top
C17007,47.969999,-116.730001,180.0,top
C17008,177.84,-105.927001,0.0,top
C17010,55.949999,-116.780001,0.0,top
C17011,53.484999,-117.050001,0.0,top
C18001,148.92,-106.125001,270.0,top
C18002,154.48,-110.940001,270.0,top
C18003,154.73,-113.420001,90.0,top
C19001,70.345,-141.310001,0.0,top
C19002,68.36,-141.310001,180.0,top
C19003,66.87,-141.775001,270.0,top
C19004,61.24,-141.355001,180.0,top
C19005,63.77,-141.605001,180.0,top
C19006,59.77,-136.800001,270.0,top
C20001,161.873,-105.927001,0.0,top
C21001,33.895,-109.010001,90.0,top
C21002,35.855,-109.010001,270.0,top
C21003,36.895,-109.030001,90.0,top
C21004,29.435,-117.350001,180.0,top
C21005,28.875,-116.088001,0.0,top
C21006,34.25,-117.030001,180.0,top
C21007,31.805,-116.730001,180.0,top
C21010,39.785,-116.780001,0.0,top
C21011,37.32,-117.050001,0.0,top
C22001,132.97,-106.095001,270.0,top
C22002,138.53,-110.910001,270.0,top
C22003,138.78,-113.390001,90.0,top
C23001,89.17,-141.288001,0.0,top
C23002,87.185,-141.288001,180.0,top
C23003,85.695,-141.753001,270.0,top
C23004,80.065,-141.333001,180.0,top
C23005,82.595,-141.583001,180.0,top
C23006,78.595,-136.778001,270.0,top
C24001,145.85,-105.907001,0.0,top
C25001,17.785,-109.035001,90.0,top
C25002,19.745,-109.035001,270.0,top
C25003,20.785,-109.055001,90.0,top
C25004,13.325,-117.375001,180.0,top
C25005,12.765,-116.113001,0.0,top
C25006,18.14,-117.055001,180.0,top
C25007,15.695,-116.755001,180.0,top
C25010,23.675,-116.805001,0.0,top
C25011,21.21,-117.075001,0.0,top
C26001,117.055,-106.110001,270.0,top
C26002,122.615,-110.925001,270.0,top
C26003,122.865,-113.405001,90.0,top
C28001,129.9,-105.877001,0.0,top
C3001,105.442,-135.125001,90.0,top
C3002,105.192,-132.625001,270.0,top
C3003,116.8,-135.035001,90.0,top
C3004,116.55,-132.580001,270.0,top
C3005,94.46,-135.120001,90.0,top
C3006,94.21,-132.640001,270.0,top
C3007,130.71,-135.502501,270.0,top
C3008,149.59,-135.390001,270.0,top
C3009,144.82,-135.420001,270.0,top
C3010,135.45,-135.490001,270.0,top
C3011,140.07,-135.450001,270.0,top
C32001,113.985,-105.892001,0.0,top
C4001,99.4175,-119.77,270.0,top
C4002,97.4575,-119.77,90.0,top
C4003,96.4175,-119.75,270.0,top
C4004,103.877501,-111.430001,0.0,top
C4005,104.437501,-112.692001,180.0,top
C4006,99.0625,-111.750001,0.0,top
C4007,101.507501,-112.050001,0.0,top
C4010,93.5275,-112.000001,180.0,top
C4011,95.9925,-111.730001,180.0,top
C5001,82.735,-109.010001,90.0,top
C5002,84.695,-109.010001,270.0,top
C5003,85.735,-109.030001,90.0,top
C5004,78.275,-117.350001,180.0,top
C5005,77.715,-116.088001,0.0,top
C5006,83.09,-117.030001,180.0,top
C5007,80.645,-116.730001,180.0,top
C5008,218.68073,-101.571975,270.0,top
C5009,218.65573,-99.661975,90.0,top
C5010,88.625,-116.780001,0.0,top
C5011,86.16,-117.050001,0.0,top
C5012,224.25573,-100.416975,90.0,top
C6001,221.025141,-114.487564,45.0,top
C6002,219.65573,-115.786975,45.0,top
C6003,218.956319,-115.096386,45.0,top
C6004,216.255141,-117.767564,225.0,top
C6005,216.616319,-118.826386,225.0,top
C6006,216.156319,-116.446386,45.0,top
C6007,218.315141,-117.127564,225.0,top
C6008,217.615141,-116.427564,45.0,top
C6009,214.466319,-120.367564,135.0,top
C6010,213.746319,-121.087564,135.0,top
C6011,213.04573,-121.796975,135.0,top
C6012,211.096319,-124.366386,225.0,top
C6013,210.50573,-129.366975,225.0,top
C6014,211.206319,-130.066386,225.0,top
C6015,211.886319,-130.766386,225.0,top
C6016,212.586319,-131.456386,225.0,top
C6017,213.286319,-132.156386,225.0,top
C6018,213.986908,-132.845797,225.0,top
C6019,214.696319,-133.556386,225.0,top
C6020,215.396319,-134.256386,225.0,top
C6021,218.746319,-113.916386,225.0,top
C6022,211.70573,-120.216975,315.0,top
C6023,212.011167,-122.898237,315.0,top
C6024,211.00573,-120.916975,315.0,top
C6025,210.386319,-123.666386,45.0,top
C6026,209.67573,-122.976975,45.0,top
C6027,256.30573,-98.501975,90.0,top
C6028,228.716167,-111.648237,225.0,top
C6029,210.246319,-131.707564,135.0,top
C6030,233.366167,-116.273237,225.0,top
C6031,216.096319,-134.946386,45.0,top
C6032,236.866167,-119.798237,225.0,top
C6033,219.63573,-138.537975,45.0,top
C6034,221.308748,-141.730818,315.0,top
C6035,221.988159,-140.650229,315.0,top
C6036,241.125578,-129.662648,135.0,top
C6037,223.33573,-142.182975,45.0,top
C6038,236.536167,-134.253237,135.0,top
C6039,232.661167,-138.148237,135.0,top
C6040,239.551167,-130.973237,225.0,top
C6041,240.621756,-131.662648,45.0,top
C6043,214.241319,-114.316386,0.0,top
C6048,215.70573,-102.836975,90.0,top
C6049,215.98073,-100.306975,270.0,top
C6050,207.05573,-102.761975,90.0,top
C6051,206.83073,-100.306975,270.0,top
C7001,260.31373,-114.140975,180.0,top
C7002,262.81373,-116.520975,270.0,top
C7003,256.28373,-114.600975,270.0,top
C7004,257.25373,-114.600975,270.0,top
C7005,253.39373,-111.390975,270.0,top
C7006,256.55373,-120.030975,90.0,top
C7007,246.71573,-142.416975,270.0,top
C7008,251.16373,-119.460975,0.0,top
C7009,250.60873,-120.690975,0.0,top
C7010,256.21373,-126.740975,270.0,top
C7011,249.91373,-126.720975,270.0,top
C7012,244.71373,-141.900975,0.0,top
C8001,276.04073,-139.571975,0.0,top
C8002,276.04073,-138.021975,0.0,top
C8003,275.52573,-149.286975,0.0,top
C8005,268.13573,-133.926975,180.0,top
C8006,265.68773,-133.646975,180.0,top
C9001,21.845,-141.355001,0.0,top
C9002,19.86,-141.355001,180.0,top
C9003,18.37,-141.820001,270.0,top
C9004,12.74,-141.400001,180.0,top
C9005,15.27,-141.650001,180.0,top
C9006,11.27,-136.845001,270.0,top
D1001,194.41573,-106.716975,0.0,top
D1002,197.78573,-107.986975,0.0,top
D1003,194.46573,-109.436975,0.0,top
D1004,197.81573,-110.846975,0.0,top
D1005,194.46573,-112.686975,0.0,top
D1006,197.84573,-114.376975,0.0,top
D1007,194.47573,-116.146975,0.0,top
D1008,197.83573,-118.256975,0.0,top
D1009,194.44573,-120.006975,0.0,top
D1010,197.83573,-121.906975,0.0,top
D1011,194.47573,-123.756975,0.0,top
D1012,197.85573,-125.536975,0.0,top
D1013,194.46823,-127.176975,0.0,top
D1014,197.82573,-128.906975,0.0,top
D1015,194.46573,-130.756975,0.0,top
D1016,197.80573,-132.476975,0.0,top
D1017,194.45573,-134.246975,0.0,top
D1018,197.81573,-136.056975,0.0,top
D1019,194.42573,-137.726975,0.0,top
D1020,194.41823,-139.736975,0.0,top
D1021,197.75573,-145.416975,0.0,top
