,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
-260,-6.458,-6.457,-6.456,-6.455,-6.453,-6.452,-6.45,-6.448,-6.446,-6.444,-6.441,-6.438,-6.436,-6.433999999999999,-6.4319999999999995,-6.43,-6.428999999999999,-6.427,-6.425999999999999,-6.425,-6.4239999999999995
-250,-6.441,-6.438,-6.435,-6.432,-6.429,-6.425,-6.421,-6.417,-6.413,-6.408,-6.404,-6.3999999999999995,-6.395,-6.391,-6.387,-6.383,-6.379,-6.3759999999999994,-6.373,-6.37,-6.367
-240,-6.404,-6.399,-6.393,-6.388,-6.382,-6.377,-6.37,-6.364,-6.358,-6.351,-6.344,-6.337000000000001,-6.330000000000001,-6.324000000000001,-6.3180000000000005,-6.311000000000001,-6.306000000000001,-6.300000000000001,-6.295000000000001,-6.289000000000001,-6.284000000000001
-230,-6.344,-6.337,-6.329,-6.322,-6.314,-6.306,-6.297,-6.289,-6.28,-6.271,-6.262,-6.252999999999999,-6.243999999999999,-6.234999999999999,-6.226999999999999,-6.217999999999999,-6.209999999999999,-6.201999999999999,-6.194999999999999,-6.186999999999999,-6.179999999999999
-220,-6.262,-6.252,-6.243,-6.233,-6.223,-6.213,-6.202,-6.192,-6.181,-6.17,-6.158,-6.146000000000001,-6.135000000000001,-6.1240000000000006,-6.114000000000001,-6.103000000000001,-6.093000000000001,-6.083000000000001,-6.073,-6.064000000000001,-6.054000000000001
-210,-6.158,-6.147,-6.135,-6.123,-6.111,-6.099,-6.087,-6.074,-6.061,-6.048,-6.035,-6.022,-6.009,-5.996,-5.9830000000000005,-5.971,-5.9590000000000005,-5.947,-5.9350000000000005,-5.923,-5.912
-200,-6.035,-6.021,-6.007,-5.994,-5.98,-5.965,-5.951,-5.936,-5.922,-5.907,-5.891,-5.875,-5.86,-5.846,-5.831,-5.817,-5.802,-5.788,-5.775,-5.761,-5.747
-190,-5.891,-5.876,-5.861,-5.845,-5.829,-5.813,-5.797,-5.78,-5.763,-5.747,-5.73,-5.713000000000001,-5.697000000000001,-5.680000000000001,-5.663000000000001,-5.647000000000001,-5.631000000000001,-5.615000000000001,-5.599000000000001,-5.5840000000000005,-5.569000000000001
-180,-5.73,-5.713,-5.695,-5.678,-5.66,-5.642,-5.624,-5.606,-5.588,-5.569,-5.55,-5.531,-5.512,-5.494,-5.476,-5.457999999999999,-5.4399999999999995,-5.422,-5.404999999999999,-5.387,-5.369999999999999
-170,-5.55,-5.531,-5.512,-5.493,-5.474,-5.454,-5.435,-5.415,-5.395,-5.374,-5.354,-5.3340000000000005,-5.313000000000001,-5.293,-5.273000000000001,-5.2540000000000004,-5.234,-5.215,-5.196000000000001,-5.1770000000000005,-5.158
-160,-5.354,-5.333,-5.313,-5.292,-5.271,-5.25,-5.228,-5.207,-5.185,-5.163,-5.141,-5.119,-5.097,-5.075,-5.054,-5.032,-5.011,-4.99,-4.969,-4.949,-4.928
-150,-5.141,-5.119,-5.097,-5.074,-5.052,-5.029,-5.006,-4.983,-4.96,-4.936,-4.913,-4.890000000000001,-4.8660000000000005,-4.843000000000001,-4.82,-4.797000000000001,-4.774000000000001,-4.752000000000001,-4.729,-4.707000000000001,-4.6850000000000005
